,FalseSent,Option,label
15425,The passenger saved his panda in the overhead cabin,Panda eat a lot every day,0
15426,The passenger saved his panda in the overhead cabin,Panda won't eat people,0
15428,The people all laughed after they saw the disaster of 911,Disasters can make a nation more united,0
15429,The people all laughed after they saw the disaster of 911,Disasters will not extinct all human,0
15430,The people all laughed after they saw the disaster of 911,Disasters make people sad and terrified,1
15432,The aircraft landed on the highways as normal,Aircraft need a long runway to land,0
15433,The aircraft landed on the highways as normal,Aircraft don't land on highways in normal cases,1
15434,The aircraft landed on the highways as normal,Aircraft need to receive command from land,0
15436,Lots of employees were early for office today because the subway was late,A late subway may be caused by power failure,0
15437,Lots of employees were early for office today because the subway was late,"If the subway is often late, the civilian might be unhappy",0
15438,Lots of employees were early for office today because the subway was late,Taking a late subway will make people have more chance for being late for office,1
15440,He suddenly accelerate the car by stepping on the brake pedal,Stepping on the brake pedal heavily can be dangerous,0
15441,He suddenly accelerate the car by stepping on the brake pedal,Stepping on the brake pedal will make the car stop,1
15442,He suddenly accelerate the car by stepping on the brake pedal,Only the driver can step on the brake pedal,0
15444,There is an elephant hiding under the bed,There's not enough space under the bed for an elephant,1
15445,There is an elephant hiding under the bed,There's usually lots of dirt under the bed,0
15446,There is an elephant hiding under the bed,People can store their luggage under the bed,0
15448,The engineers cured his disease,Engineers are not qualified as well as not allowed to cure people,1
15449,The engineers cured his disease,Engineers can make the building more robust to strong wind,0
15450,The engineers cured his disease,Engineers usually have a high salary,0
15452,The sports car is running fast on its railway,Sports cars don't have a railway,1
15453,The sports car is running fast on its railway,Sports cars are expensive,0
15454,The sports car is running fast on its railway,Sports cars can run much faster than normal cars,0
15456,The forest fire saved acres of woods,Forest fire usually happens in summer time,0
15457,The forest fire saved acres of woods,Forest fire can cause strong financial loss to the local government,0
15458,The forest fire saved acres of woods,Forest fire is a disaster for woods,1
15460,"If you don't know how to solve the problem, just answer it","Even if one don't know how to solve a problem, they should not cheat",0
15461,"If you don't know how to solve the problem, just answer it",Poor students usually don't know how to solve easy problems,0
15462,"If you don't know how to solve the problem, just answer it","If one don't know how to solve a problem, they cannot answer it",1
15464,The troop asked for assistance with their gun,Guns are under strict control in most of the countries,0
15465,The troop asked for assistance with their gun,"Gun is a weapon, it cannot be used for asking assistance",1
15466,The troop asked for assistance with their gun,Guns are usually made from metal,0
15468,The kid have to eat up the fork because his mom insist so,The fork helps people to pick up their food in the plate,0
15469,The kid have to eat up the fork because his mom insist so,The fork is not eatable,1
15470,The kid have to eat up the fork because his mom insist so,The fork can be used as a weapon in some circumstances,0
15472,The loud music and alcohol made people in the class enjoy themselves,The classroom is kept quite during the class,1
15473,The loud music and alcohol made people in the class enjoy themselves,The classroom is capable for containing dozens of students,0
15474,The loud music and alcohol made people in the class enjoy themselves,The classroom usually have a blackboard in it,0
15476,His girl friend was so annoyed because he was early for the appointment,Being early may waste some time,0
15477,His girl friend was so annoyed because he was early for the appointment,Being early is a good thing,1
15478,His girl friend was so annoyed because he was early for the appointment,Being early is hard to control,0
15480,Salads are usually considered junk food,Salads are healthy food,1
15481,Salads are usually considered junk food,Salads are made of raw vegetables,0
15482,Salads are usually considered junk food,Salads have sauce in them,0
15484,The government built lots of shopping centers to brainwashing the civilian,Shopping centers usually have cinema,0
15485,The government built lots of shopping centers to brainwashing the civilian,Shopping centers are the places for shopping and having fun,1
15486,The government built lots of shopping centers to brainwashing the civilian,Shopping centers usually have restaurant,0
15488,I asked for a sucker in McDonald's,McDonald's is famous for their Hamburgers,0
15489,I asked for a sucker in McDonald's,McDonald's don't provide sucker,1
15490,I asked for a sucker in McDonald's,McDonald's is an international company,0
15492,The public is annoyed with the quick response of police in that accident,Sometimes police response so slow,0
15493,The public is annoyed with the quick response of police in that accident,Police should be praised for if they response quickly,1
15494,The public is annoyed with the quick response of police in that accident,Police can also be evil sometimes,0
15496,I poured cola into hair dryer,The hair drier can be used to dry hair,0
15497,I poured cola into hair dryer,The hair drier can be destroyed by liquid,1
15498,I poured cola into hair dryer,The hair drier can produce hot air,0
15500,That person is on a wheel chair thus he have to use the steps when going upstairs,Wheel chairs are made for disabled people,0
15501,That person is on a wheel chair thus he have to use the steps when going upstairs,Wheel chairs cannot move in the steps,1
15502,That person is on a wheel chair thus he have to use the steps when going upstairs,Wheel chairs can be powered by battery,0
15504,"Having been staring at the display for a whole day, my legs feel sick",Eyes are the most fragile part of human body,0
15505,"Having been staring at the display for a whole day, my legs feel sick",People have eyes on their face,0
15506,"Having been staring at the display for a whole day, my legs feel sick",People use their eyes to see the display,1
15508,I bought a Spezi from a washing machine,Washing machines are controlled by circuits,0
15509,I bought a Spezi from a washing machine,Washing machines are invented in the 20th century,0
15510,I bought a Spezi from a washing machine,Washing machines are used for washing clothes,1
15512,The ancient knight killed another knight with a baguette,Baguette is made from flour,0
15513,The ancient knight killed another knight with a baguette,Baguette cannot be used to kill people,1
15514,The ancient knight killed another knight with a baguette,Baguette is the traditional food in French,0
15516,He copied lots of files in a copy shredder,Shredders are usually expensive,0
15517,He copied lots of files in a copy shredder,Shredders are used for smashing files,1
15518,He copied lots of files in a copy shredder,The files smashed by shredders are usually secret,0
15520,He smashed the paper after finishing that,People are not supposed to cheat before they finish the paper,0
15521,He smashed the paper after finishing that,People are supposed to hand in the paper after finishing that,1
15522,He smashed the paper after finishing that,People should finish their paper on time,0
15524,He unlocked the door with his foot,Foots cannot unlock any doors,1
15525,He unlocked the door with his foot,People wear shoes on their foot,0
15526,He unlocked the door with his foot,People will kick other's ass with their foot,0
15528,He bought a hamburger in the post office,People can send post cards in the post offices,0
15529,He bought a hamburger in the post office,Post offices can charge people for sending the mails,0
15530,He bought a hamburger in the post office,Post offices are used for sending mails,1
15532,He got to know the time by watching his ass,There is not time on people's ass,1
15533,He got to know the time by watching his ass,People think other's ass is sexy,0
15534,He got to know the time by watching his ass,Some strange suck other's ass,0
15536,We can sit down since there is enough people in the train,"If other people already occupy the seat, it's not proper to let them fuck off",0
15537,We can sit down since there is enough people in the train,"If other people occupy the seat, we cannot sit down",1
15538,We can sit down since there is enough people in the train,"If other people are sitting on the seat, they would feel happy",0
15540,Someone forgot the liver on the train,The liver is grown inside one's body,1
15541,Someone forgot the liver on the train,The liver is an important organ of human,0
15542,Someone forgot the liver on the train,Gooses' liver can be delicious,0
15544,I'm having haircut at the firefighter's,Firefighters are usually male,0
15545,I'm having haircut at the firefighter's,Firefighters' salary is not extremely high,0
15546,I'm having haircut at the firefighter's,Firefighters' job is putting out the fire and save people,1
15548,The wooden mirror in the house looks beautiful,Wood cannot reflect anything,1
15549,The wooden mirror in the house looks beautiful,Furniture made of wood are easier to catch fire,0
15550,The wooden mirror in the house looks beautiful,Wood materials are not recyclable,0
15552,Our ancient sailors found America continent by bus,Sailors work on ships,1
15553,Our ancient sailors found America continent by bus,Sailors' life is kind of alone,0
15554,Our ancient sailors found America continent by bus,Ancient sailors are easier to have health problems,0
15556,"Those students love this place so much, they are happy to say farewell",People will be sad to leave some place they love,1
15557,"Those students love this place so much, they are happy to say farewell",People have to stick to their schedule even if they love some place,0
15558,"Those students love this place so much, they are happy to say farewell",People won't love every place they've been to,0
15560,The police refused that person to get out of the train station since he can provide ID card,Providing ID card is necessary in some places,0
15561,The police refused that person to get out of the train station since he can provide ID card,Asking the citizen to provide ID card means the government is unstable,0
15562,The police refused that person to get out of the train station since he can provide ID card,Providing ID card can prove one's identity,1
15564,The racer drives extremely fast in the room,The room is not suitable for driving,1
15565,The racer drives extremely fast in the room,The room usually have light in it,0
15566,The racer drives extremely fast in the room,The room have multiple functionalities,0
15568,The judge screamed for the last goal,Judges have different nationality with both sides during the world cup,0
15569,The judge screamed for the last goal,Judges keeps calm during the soccer match,1
15570,The judge screamed for the last goal,Judges make mistakes sometimes,0
15572,Some lemon juice will help to cure your cancer,The cancer have a high death rate,0
15573,Some lemon juice will help to cure your cancer,The cancer cannot be cured with lemon juice,1
15574,Some lemon juice will help to cure your cancer,The research on curing cancer is sill under going,0
15576,One have to be young enough to play the shooting game,Shooting games help people to release their pressure,0
15577,One have to be young enough to play the shooting game,Shooting games are usually violent,1
15578,One have to be young enough to play the shooting game,Shooting games can be bought online,0
15580,"For seafood allergic people, they'd better not to eat bread",Bread is not a kind of seafood,1
15581,"For seafood allergic people, they'd better not to eat bread",Bread is not a kind of meat,0
15582,"For seafood allergic people, they'd better not to eat bread",Bread is not a kind of fruit,0
15584,Cheating in the game is not fair for your computer,Computers can be used to play games,0
15585,Cheating in the game is not fair for your computer,Computers are among the greatest inventions,0
15586,Cheating in the game is not fair for your computer,Computers don't have any emotion,1
15588,Taking one's own chopsticks to office is better,People are allowed to eat snack in the office,0
15589,Taking one's own chopsticks to office is better,People normally don't have meal in office,1
15590,Taking one's own chopsticks to office is better,People are not allowed to make love in the office,0
15592,I got a hair cut from the butcher,Butchers' jobs are killing animals,1
15593,I got a hair cut from the butcher,Butchers are usually male,0
15594,I got a hair cut from the butcher,Butchers have to make a living by themselves,0
15596,I found the car's trace on the cement road,Cars can run faster on cement road,0
15597,I found the car's trace on the cement road,Cars can stop in a shorter distance on cement road,0
15598,I found the car's trace on the cement road,Cars will not leave any trace on cement road,1
15600,We were early for the meeting because of the traffic jam,Traffic jams are usually caused by traffic accident,0
15601,We were early for the meeting because of the traffic jam,Traffic jams are more commonly seen on evening traffic summit,0
15602,We were early for the meeting because of the traffic jam,Traffic jams cause vehicles run slower than normal,1
15604,He went so excited that he didn't remember anything last night,Being excited can help people remember things more clearly,1
15605,He went so excited that he didn't remember anything last night,Being excited can make people more active toward things,0
15606,He went so excited that he didn't remember anything last night,Taking some drug can help people to become excited,0
15608,She is so afraid of darkness that she laughed in the dark house,Laughing is good for one's health,0
15609,She is so afraid of darkness that she laughed in the dark house,People laugh when they're happy,1
15610,She is so afraid of darkness that she laughed in the dark house,Laughing can bring positive atmosphere,0
15612,They have to say hello to each other because they are leaving,Saying hello means being friendly,0
15613,They have to say hello to each other because they are leaving,People say hello when they meet each other,1
15614,They have to say hello to each other because they are leaving,Saying hello to strangers can make them happy,0
15616,"If you use speaker to enjoy your music, you won't bother others",Magnet is a essential component of the speakers,0
15617,"If you use speaker to enjoy your music, you won't bother others",Speakers are powered by current,0
15618,"If you use speaker to enjoy your music, you won't bother others",Everyone near the speaker can hear the sound of it,1
15620,The fire alarm is triggered because he vomited in the toilet,Vomiting makes people feel sick,0
15621,The fire alarm is triggered because he vomited in the toilet,Vomiting is good for people's health sometimes,0
15622,The fire alarm is triggered because he vomited in the toilet,Vomiting will not produce any smoke,1
15624,"If you don't want to carry things on your hand, bring a watermelon",Watermelons is a popular fruit during the summer,0
15625,"If you don't want to carry things on your hand, bring a watermelon",People cannot put things in watermelons,1
15626,"If you don't want to carry things on your hand, bring a watermelon",The price of watermelons is pretty high in some countries,0
15628,The host forbid others entering the house by planting grass around his house,Planting grass is good for the environment,0
15629,The host forbid others entering the house by planting grass around his house,Grassland will not stop people,1
15630,The host forbid others entering the house by planting grass around his house,Planting grass in the yard makes the yard looks better,0
15632,Don't forget to turn off the light if you're the first to come,The light should be turned on if it's dark outside,0
15633,Don't forget to turn off the light if you're the first to come,The light should be turned off if there're terrorist outside,0
15634,Don't forget to turn off the light if you're the first to come,The light should be turned on if there is person in the room,1
15636,The couple enjoyed their sex in the bus,Public spaces is not suitable for smoking,0
15637,The couple enjoyed their sex in the bus,Public spaces is not suitable for playing loud music,0
15638,The couple enjoyed their sex in the bus,Public spaces is not suitable for making love,1
15640,They used that application and called a bus,Buses have their fixed routine,1
15641,They used that application and called a bus,Buses run slower than taxies,0
15642,They used that application and called a bus,Buses needs more fuel than taxies,0
15644,the sun will rise up from the west,the earth revolves around the sun,1
15645,the sun will rise up from the west,the sun is very bright,0
15646,the sun will rise up from the west,there are lots of water on the earth,0
15648,the law can not be changed,people have to obey the law,0
15649,the law can not be changed,there are numerous laws in our world,0
15650,the law can not be changed,the constitution will change to solve the problem in the society,1
15652,people will repeat the same mistake,mistakes are inevitable,0
15653,people will repeat the same mistake,people will learn from the mistakes,1
15654,people will repeat the same mistake,people hate making mistakes,0
15656,drinking wine is good for health,wine has lots of flavors,0
15657,drinking wine is good for health,alcohol in the wine is bad for our health,1
15658,drinking wine is good for health,lots of people like drinking wines,0
15660,put our hands into the fire is safe,the fire is so bright,0
15661,put our hands into the fire is safe,water can extinguish fire,0
15662,put our hands into the fire is safe,the fire is so hot that the hands of people can't bear it.,1
15664,two man can't fall in love with each other,people are divided into man and woman,0
15665,two man can't fall in love with each other,in many country two men can't marry,0
15666,two man can't fall in love with each other,love has no relation with sex,1
15668,Air conditioning must be used in summer,Cool summer days don't need air conditioning,1
15669,Air conditioning must be used in summer,Air conditioners need electricity,0
15670,Air conditioning must be used in summer,Fans can cool people down,0
15672,A car is slower than a bike,bike is more eco-friendly,0
15673,A car is slower than a bike,car is more expensive than bike,0
15674,A car is slower than a bike,A car has a powerful engine that can generate a lot of power,1
15676,The day is darker than the night,Day and night alternate,0
15677,The day is darker than the night,The hours of day and night vary throughout the year,0
15678,The day is darker than the night,The sun is very bright during the day,1
15680,There are human beings living on the sun,The sun is too hot for human habitation,1
15681,There are human beings living on the sun,The sun is in the universe,0
15682,There are human beings living on the sun,The sun has been around for a long time,0
15684,Rabbits eat lions,Lions are carnivores and rabbits are herbivores,1
15685,Rabbits eat lions,Lions live on the grassland,0
15686,Rabbits eat lions,The lion has a lot of fur,0
15688,"if you want to eat food, you have to cook for yourself",you can to to the restaurant to eat food,1
15689,"if you want to eat food, you have to cook for yourself",you have to spend money for the service in the restaurant,0
15690,"if you want to eat food, you have to cook for yourself",cooking food at home is more safe and clean,0
15692,"If you fall, you will break a bone",Only a heavy fall can break a bone,1
15693,"If you fall, you will break a bone",Humans have many bones,0
15694,"If you fall, you will break a bone",people will fall easily when it rains,0
15696,People eat with their eyes,People have two eyes,0
15697,People eat with their eyes,people have one mouth,0
15698,People eat with their eyes,people's eyes are not suitable for eating foods,1
15700,"If you want to lose weight, eat junk food",Many people want to lose weight,0
15701,"If you want to lose weight, eat junk food",Junk food will make people fat,1
15702,"If you want to lose weight, eat junk food",Junk food is delicious,0
15704,"If you want to be white, just get in the sun",Sunlight darkens people,1
15705,"If you want to be white, just get in the sun",The sun is very hot,0
15706,"If you want to be white, just get in the sun",Many people want to be white,0
15708,Eating vegetables is bad for health,The vitamins in vegetables are good for health,1
15709,Eating vegetables is bad for health,Many people like to eat vegetables,0
15710,Eating vegetables is bad for health,Vegetables are delicious,0
15712,"If you want to make friends, you should stay alone",Communication can lead to friendship,1
15713,"If you want to make friends, you should stay alone",People can't live without friends,0
15714,"If you want to make friends, you should stay alone",People have all kinds of friends,0
15716,Dogs are our enemies,The dog runs fast,0
15717,Dogs are our enemies,Dogs have been domesticated for human service,1
15718,Dogs are our enemies,The dog barked loudly,0
15720,A thief stole my eyes,"eyes is a part of our body,so it can't be stolen",1
15721,A thief stole my eyes,I have two eyes,0
15722,A thief stole my eyes,I have lots of money,0
15724,I eat the sun today,pancakes are delicious,0
15725,I eat the sun today,I like eating pancake,0
15726,I eat the sun today,the sun is too big to eat,1
15728,My brother is menstruating,My brother sweats a lot,0
15729,My brother is menstruating,Men can't menstruate,1
15730,My brother is menstruating,My brother is in good health,0
15732,My brother likes flying,Swimming is good for health,0
15733,My brother likes flying,Swimming needs practice,0
15734,My brother likes flying,Man cannot fly,1
15736,There must be aliens outside our solar system,No one has proof of having seen aliens,0
15737,There must be aliens outside our solar system,The universe is very big,0
15738,There must be aliens outside our solar system,Scientists haven't proved the existence of aliens,1
15740,Eating fruit is bad for your health,The vitamins in fruit are good for the body,1
15741,Eating fruit is bad for your health,Fruit is delicious,0
15742,Eating fruit is bad for your health,There are many kinds of fruit,0
15744,Jack caught a bear in the sea,Bears are big,0
15745,Jack caught a bear in the sea,There are no bears in the sea,1
15746,Jack caught a bear in the sea,There are many living things in the sea,0
15748,"If you want a wound to heal quickly, put it into the dirty water",The wound will bleed,0
15749,"If you want a wound to heal quickly, put it into the dirty water",Bacteria in dirty water can infect a wound,1
15750,"If you want a wound to heal quickly, put it into the dirty water",The wound can be painful,0
15752,"I'm so hungry,so I have to take a shower",Taking a shower won't make you feel full,1
15753,"I'm so hungry,so I have to take a shower",Foods is very delicious,0
15754,"I'm so hungry,so I have to take a shower",Taking a shower will make you clean,0
15756,I can smell the light of the lamp,The lamp is very bright,0
15757,I can smell the light of the lamp,People have noses,0
15758,I can smell the light of the lamp,people can't smell the light,1
15760,"If you want to arrive quickly, take a train",There are beds on the train,0
15761,"If you want to arrive quickly, take a train",Planes are faster than trains,1
15762,"If you want to arrive quickly, take a train",Air tickets are expensive,0
15764,Wear a jacket if you want to get cool,Short sleeves are cheaper,0
15765,Wear a jacket if you want to get cool,Jackets are more stylish,0
15766,Wear a jacket if you want to get cool,Short sleeves are thinner and cooler than jackets,1
15768,Get more sleep if you want to get fit,People have to sleep,0
15769,Get more sleep if you want to get fit,Exercise burns calories,1
15770,Get more sleep if you want to get fit,people need to Drink water for exercise,0
15772,"If you want to protect your eyesight, look at the computer more often",Seeing the scenery can relax the mind,0
15773,"If you want to protect your eyesight, look at the computer more often",Computers are very expensive,0
15774,"If you want to protect your eyesight, look at the computer more often",Computer radiation is bad for eyesight,1
15776,work if you want to relax,Sleep can give people energy,1
15777,work if you want to relax,Modern people tend to feel sleepy,0
15778,work if you want to relax,People like to sleep in bed,0
15780,Too much exercise can lead to health,People like to drink water when they exercise,0
15781,Too much exercise can lead to health,Too much exercise makes people lose focus and lead to injuries,1
15782,Too much exercise can lead to health,Modern people is inactive,0
15784,There are aliens on the moon,Man has not proved that there is life on the moon,1
15785,There are aliens on the moon,The moon is very close to the earth,0
15786,There are aliens on the moon,The moon revolves around the earth,0
15788,All animals are very aggressive,There are many animals on earth,0
15789,All animals are very aggressive,Animals are divided into carnivores and herbivores,0
15790,All animals are very aggressive,Domestic dogs are not aggressive,1
15792,"If you want to see farther, go to the basins","The higher you stand, the farther you can see",1
15793,"If you want to see farther, go to the basins",There are many mountains in the world,0
15794,"If you want to see farther, go to the basins",It's always windy in the mountains,0
15796,Stand in the sun if you want to cool off,There are many trees on the earth,0
15797,Stand in the sun if you want to cool off,Sunlight makes people feel hot,1
15798,Stand in the sun if you want to cool off,The sun is very bright,0
15800,Don't bring an umbrella on rainy days,There are all kinds of umbrellas,0
15801,Don't bring an umbrella on rainy days,An umbrella keeps out the rain,1
15802,Don't bring an umbrella on rainy days,You can't see the sun on rainy days,0
15804,Studying abroad will reduce your knowledge,Going abroad you can see many new things and people,1
15805,Studying abroad will reduce your knowledge,It costs a lot of money to go abroad,0
15806,Studying abroad will reduce your knowledge,There are many difficulties in studying abroad,0
15808,Humans can breathe the Martian air directly,Mars is far away from earth,0
15809,Humans can breathe the Martian air directly,The Martian air is low in oxygen,1
15810,Humans can breathe the Martian air directly,The surface of Mars is a wasteland,0
15812,Driverless cars bring nothing but harm to mankind,A number of companies are developing driverless cars,0
15813,Driverless cars bring nothing but harm to mankind,Driverless cars can free the driver's hands,1
15814,Driverless cars bring nothing but harm to mankind,Driverless cars are expensive,0
15816,More people will be more productive,Failure to work as a team reduces efficiency,1
15817,More people will be more productive,Many people enjoy teamwork,0
15818,More people will be more productive,Many people enjoy working alone,0
15820,Machines never go wrong,Machines have bugs,1
15821,Machines never go wrong,The machine will not feel tired,0
15822,Machines never go wrong,There are a lot of companies using machines,0
15824,Money is everything,Many people in the world have no money,0
15825,Money is everything,Money can't buy health,1
15826,Money is everything,Money can buy food,0
15828,People can stop breathing,People die without oxygen,1
15829,People can stop breathing,Air is made up of various components,0
15830,People can stop breathing,Human lungs are used for breathing,0
15832,All the leaves are green,The withered leaves are yellow,1
15833,All the leaves are green,There are many leaves on a tree,0
15834,All the leaves are green,Not all trees lose their leaves in winter,0
15836,I went to the toilet to eat food,There are all kinds of restaurants in the city,0
15837,I went to the toilet to eat food,There's no food in the toilet.,1
15838,I went to the toilet to eat food,There is a tap in the bathroom,0
15840,I was thirsty so I went to eat bread,Bread is made from wheat,0
15841,I was thirsty so I went to eat bread,Bread makes you fat,0
15842,I was thirsty so I went to eat bread,Drink water to rehydrate your body,1
15844,China's history is short,China is on the west coast of the Pacific Ocean,0
15845,China's history is short,China in Asia,0
15846,China's history is short,"China has a history of 5,000 years",1
15848,I saw a tiger in the sky yesterday,Tigers are carnivores,0
15849,I saw a tiger in the sky yesterday,There are many tigers in the world,0
15850,I saw a tiger in the sky yesterday,Tigers can't fly,1
15852,I got hurt so I went to the restaurant,There are many kinds of restaurants,0
15853,I got hurt so I went to the restaurant,It costs money to eat in a restaurant,0
15854,I got hurt so I went to the restaurant,A hospital is a place of treatment,1
15856,Jim doesn't like fruit so he often eats apples,Apples are fruits,1
15857,Jim doesn't like fruit so he often eats apples,There are many kinds of fruit,0
15858,Jim doesn't like fruit so he often eats apples,Fruit is very nutritious,0
15860,Mike had no money so he went to buy luxuries,It takes a lot of money to buy luxury goods,1
15861,Mike had no money so he went to buy luxuries,There are many luxury companies in the world,0
15862,Mike had no money so he went to buy luxuries,Luxury goods are popular with the upper classes,0
15864,Two lovers are bound to get married,Adults are allowed to marry,0
15865,Two lovers are bound to get married,There are many factors that affect marriage,1
15866,Two lovers are bound to get married,Marriage is a life event,0
15868,The telephone is the most important thing in human society,The telephone can transmit information,0
15869,The telephone is the most important thing in human society,There are many people working on the telephone,0
15870,The telephone is the most important thing in human society,There are many important inventions in human society,1
15872,I had rocks for breakfast,Stone is not human food,1
15873,I had rocks for breakfast,I like to eat breakfast,0
15874,I had rocks for breakfast,There are many stones on the beach,0
15876,I went out in an umbrella,There are many styles of skirt,0
15877,I went out in an umbrella,Umbrellas are not clothes,1
15878,I went out in an umbrella,Take an umbrella when it rains,0
15880,He was very happy because he got low marks in the exam,College students go through many exams,0
15881,He was very happy because he got low marks in the exam,Exams make people feel very tired,0
15882,He was very happy because he got low marks in the exam,Low scores are frustrating,1
15884,He went to prison for charity,Many rich people are passionate about charity,0
15885,He went to prison for charity,Charity requires love,0
15886,He went to prison for charity,Charity is not against the law and is respected,1
15888,The soup was very bad I drank a lot of it,No one likes a bad soup,1
15889,The soup was very bad I drank a lot of it,Many people like soup,0
15890,The soup was very bad I drank a lot of it,There are many kinds of soup,0
15892,I left my home at key,The house is too big to put on the key,1
15893,I left my home at key,A key is needed to unlock the lock,0
15894,I left my home at key,Careless people forget things,0
15896,I lost my shoes while I was waiting for the traffic lights,I can't lose my shoes when I put them on,1
15897,I lost my shoes while I was waiting for the traffic lights,There are many thieves who specialize in stealing mobile phones,0
15898,I lost my shoes while I was waiting for the traffic lights,People need to wait for traffic lights,0
15900,There was a tornado outside so I went for a walk,Tornadoes are a natural phenomenon,0
15901,There was a tornado outside so I went for a walk,Walking is good for health,0
15902,There was a tornado outside so I went for a walk,No one wants to go out during a tornado,1
15904,My leg hurt so I went to play basketball,Playing basketball can help you lose weight,0
15905,My leg hurt so I went to play basketball,Playing basketball can make more friends,0
15906,My leg hurt so I went to play basketball,Injured leg can't play basketball,1
15908,I smoke in the plane,Smoking is harmful to your health,0
15909,I smoke in the plane,You need money for cigarettes,0
15910,I smoke in the plane,Smoking is not allowed on the plane,1
15912,I drink my tea slowly during the earthquake,Drinking tea is good for health,0
15913,I drink my tea slowly during the earthquake,It's dangerous to evacuate quickly,1
15914,I drink my tea slowly during the earthquake,Earthquakes happen frequently in Japan,0
15916,I grow potatoes on Mars,You can't grow plants on Mars,1
15917,I grow potatoes on Mars,Potatoes can be eaten in many ways,0
15918,I grow potatoes on Mars,Mars is far away from earth,0
15920,Cut off your toes if you don't want your socks to cut,Cutting off toes is unnecessary and can be disabling,1
15921,Cut off your toes if you don't want your socks to cut,People have to wear socks in winter,0
15922,Cut off your toes if you don't want your socks to cut,It doesn't hurt to cut your toenails,0
15924,I'm going to walk to school because I'm in a hurry,Walking is good for health,0
15925,I'm going to walk to school because I'm in a hurry,Walking does not save time,1
15926,I'm going to walk to school because I'm in a hurry,It takes petrol to drive a car,0
15928,My dog feed me every day,There are many kinds of dogs,0
15929,My dog feed me every day,Dogs can't feed people,1
15930,My dog feed me every day,People should eat three meals a day for health,0
15932,He explained detailed steps on the sky to all the students,The sky is blue if the weather is good,0
15933,He explained detailed steps on the sky to all the students,People can't write anything on the sky,1
15934,He explained detailed steps on the sky to all the students,People have many fantasy about the sky,0
15936,It's bitter for couples to reunion,Reunion can bring some troubles sometimes,0
15937,It's bitter for couples to reunion,Not all people looking for reunion with each other,0
15938,It's bitter for couples to reunion,Reunion of beloved people bring happiness,1
15940,I need to be patient to catch my schedule,Being patient is a good manner,0
15941,I need to be patient to catch my schedule,Being too patient is not good in some occasions,0
15942,I need to be patient to catch my schedule,Being patient cannot not make things quicker,1
15944,People have to pay for the delivery if they subscribe to the music stream,Music stream providers offer special price for students,0
15945,People have to pay for the delivery if they subscribe to the music stream,Different music stream's price don't differ a lot,0
15946,People have to pay for the delivery if they subscribe to the music stream,Music stream is an electronic media,1
15948,People have to swim for a long distance in a marathon,Marathon originates from Grace,0
15949,People have to swim for a long distance in a marathon,Marathon is a kind of running test,1
15950,People have to swim for a long distance in a marathon,Marathon is very tiring,0
15952,The pianist earned face palm in the hall,People won't face palm the player even if they're not good enough,1
15953,The pianist earned face palm in the hall,The pianist will have a hard time if they're not good enough,0
15954,The pianist earned face palm in the hall,There's plenty of famous pianist,0
15956,Adding some vinegar to lemon juice will make it not too sour,Vinegar is made from rice,0
15957,Adding some vinegar to lemon juice will make it not too sour,Chinese vinegar is black,0
15958,Adding some vinegar to lemon juice will make it not too sour,Vinegar is sour,1
15960,The troop detected enemy plane with their medal,Medals are given to the greatest soldiers,0
15961,The troop detected enemy plane with their medal,Medals are made of metal,0
15962,The troop detected enemy plane with their medal,Medals cannot be used for locating aircraft,1
15964,The last movie of the game is awesome,Movies lasts for about 2 hours,0
15965,The last movie of the game is awesome,Movies are not consisted of chapters,1
15966,The last movie of the game is awesome,Movies have awesome sound effect,0
15968,Running in the athletic track is not safe,Athletic track is red or blue,0
15969,Running in the athletic track is not safe,Athletic track is made from plastic,0
15970,Running in the athletic track is not safe,Athletic track is made for running,1
15972,A camera can prevent cell phones from smashing the screen,Cameras is not a protection component of cell phones,1
15973,A camera can prevent cell phones from smashing the screen,Cameras is an essential part of cell phones,0
15974,A camera can prevent cell phones from smashing the screen,Cameras is not as expensive as the screen in cell phones,0
15976,He is fined for throwing garbage into the dustbin,Dustbins are made for throwing garbages,1
15977,He is fined for throwing garbage into the dustbin,Dustbins should be cleaned periodically,0
15978,He is fined for throwing garbage into the dustbin,Dustbins are usually smelly,0
15980,"To become a state of law, the president should change the constitution in secret",Constitution is so important for a country,0
15981,"To become a state of law, the president should change the constitution in secret",Constitution reflect a country's spirit,0
15982,"To become a state of law, the president should change the constitution in secret",Changing the constitution have to be approved by public in a state of law,1
15984,Paper bags is causing severe pollution to the environment,Paper bags have graph printed on them,0
15985,Paper bags is causing severe pollution to the environment,McDonald's provides paper bag for their take out,0
15986,Paper bags is causing severe pollution to the environment,Paper bags can be degraded within a short time,1
15988,People obtain sea salt from the dessert,People can obtain silicon from sand,0
15989,People obtain sea salt from the dessert,There is not salt contained in sand,1
15990,People obtain sea salt from the dessert,It's usually so hot in the dessert,0
15992,"Since he is about to leave, his roommates give him a surprise funeral",People are expected to wear formal suit in funerals,0
15993,"Since he is about to leave, his roommates give him a surprise funeral",People have to say farewell to someone during the funeral,0
15994,"Since he is about to leave, his roommates give him a surprise funeral",People have funeral when someone died,1
15996,The sand on the road reflects the pure blue sky,The sand is not reflexive,1
15997,The sand on the road reflects the pure blue sky,The sand is crystal,0
15998,The sand on the road reflects the pure blue sky,The sand on the road should be cleaned,0
